NUVA,label,comment,abstract,instanceOf
VAC0160,"Vaccin Zona vivant atténué, sans précision",Vaccin vivant atténué contre le zona,True,
VAC0161,ZOSTAVAX,Vaccin vivant atténué contre le zona,False,VAC0160
VAC0162,"Vaccin Brucellose, sans précision","Brucellosis vaccine, unspecified",True,
VAC0163,"Vaccin Coqueluche entier inactivé, sans précision",Vaccin coquelucheux (entier inactivé),True,
VAC0164,INTANZA 9 µg,"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté",False,VAC0925
VAC0165,"VAQTA 25 U/0,5 mL","Vaccin entier inactivé contre l'hépatite A, dose pédiatrique",False,VAC0911
VAC0166,VAQTA 50 U,"Vaccin entier inactivé contre l'hépatite A, dose adulte",False,VAC0910
VAC0168,AMBIRIX,"Vaccin combiné contre les hépatites A et B, dose pédiatrique",False,VAC1226
VAC0169,OPTAFLU,"Vaccin contre la grippe saisonnière inactivé trivalent, à antigène de surface, préparé sur culture cellulaire",False,VAC0925
VAC0170,AFLUNOV,"Vaccin contre la grippe A(H5N1) (antigène de surface, inactivé, avec adjuvant)",False,VAC0084
VAC0171,PREPANDEMIC INFLUENZA VACCINE (H5N1) NOVARTIS,Vaccin contre la grippe A(H5N1),False,VAC0084
VAC0172,DIFTAVAX,"Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",False,VAC0137
VAC0173,FLUENZ,"Vaccin contre la grippe saisonnière trivalent, vivant atténué, par voie nasale",False,VAC1123
VAC0174,PROQUAD,"Vaccin vivant atténué contre la rougeole, la rubéole, les oreillons et la varicelle",False,VAC0827
VAC0175,A.D.T. BOOSTER,"Vaccin diphtérique (anatoxine, dose réduite) et tétanique (anatoxine) (utilisé pour les rappels vaccinaux)",False,VAC0920
VAC0176,A.K.D.S.,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (entier inactivé)",False,VAC0136
VAC0177,AC VAX,Vaccin polyosidique non conjugué contre les méningocoques des sérogroupes A et C,False,VAC0151
VAC0178,ACEL-IMUNE,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (acellulaire multicomposé, dose standard)",False,VAC0602
VAC0179,ACELLULAR D.P.T. KOVAX,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et poliomyélitique (entier inactivé, trivalent)",False,VAC0088
VAC0180,ACTACEL,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard, 5 composants) et anti-Haemophilus influenzae type b (conjugué à l'anatoxine tétanique)",False,VAC1164
VAC0182,ADACEL,"Vaccin diphtérique (anatoxine, dose réduite), tétanique (anatoxine) et coquelucheux (acellulaire multicomposé, dose réduite)",False,VAC0610
VAC0183,AIMMUGEN,Vaccin entier inactivé contre l'hépatite A,False,VAC0102
VAC0184,ALDIANA,"Vaccin pédiatrique diphtérique (anatoxine, dose standard)",False,VAC1165
VAC0185,ALDITEANA,"Vaccin pédiatrique diphtérique (anatoxine, dose standard) et tétanique (anatoxine)",False,VAC0137
VAC0186,ALDITERPERA,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et coquelucheux (entier inactivé)",False,VAC0136
VAC0187,AMARIL,Vaccin vivant atténué contre la fièvre jaune,False,VAC0111
VAC0188,QUIMI-HIB,"Vaccin anti-Haemophilus influenzae type b, polyoside capsulaire (phosphate de polyribosylribitol, PRP) conjugué à l'anatoxine tétanique",False,VAC0345
VAC0189,ANADIFTERALL,"Vaccin pédiatrique diphtérique (anatoxine, dose standard)",False,VAC1165
VAC0190,ANATETALL,Vaccin tétanique (anatoxine),False,VAC0132
VAC0191,ARILVAX,Vaccin vivant atténué contre la fièvre jaune,False,VAC0111
VAC0192,ATTENUVAX,Vaccin vivant atténué contre la rougeole,False,VAC0114
VAC0193,"AVAC-1, AVA","Vaccin acellulaire contre le charbon absorbé, avec adjuvant",False,VAC1279
VAC0194,B-CAPSA,"Vaccin anti-Haemophilus influenzae type b, polyosidique non conjugué",False,VAC1148
VAC0195,BEGRIVAC,"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté",False,VAC0925
VAC0196,BIAVAX,Vaccin vivant atténué contre la rubéole et les oreillons,False,VAC0829
VAC0197,BIAVAX II,Vaccin vivant atténué contre la rubéole et les oreillons,False,VAC0829
VAC0198,BIKEN-HB,Vaccin recombinant contre l'hépatite B,False,VAC1125
VAC0199,BIMMUGEN,"Vaccin recombinant contre l'hépatite B, dosé à 10 microgrammes d'antigène HBs pour 0,5 mL (il existe une formulation de 0,25 mL)",False,VAC0914
VAC0200,BIOTHRAX,"Vaccin acellulaire contre le charbon absorbé, avec adjuvant",False,VAC1279
VAC0201,BIVIRATEN BERNA,Vaccin vivant atténué contre la rougeole et les oreillons,False,VAC0623
