NUVA,label,comment,abstract,instanceOf
VAC0344,"PRP-OMP Hib vaccine, unspecified",Szczepionka skoniugowana przeciwko Haemophilus influenzae typu b składająca się z PRP (fosforan polirybozylobitolu) skoniugowanego z OMP (białko błony zewnętrznej Neisseria meningitidis),True,
VAC0345,"Hib PRP-T conjugated vaccine, unspecified",Szczepionka skoniugowana przeciwko Haemophilus influenzae typu b składająca się z PRP (fosforan polirybozylobitolu) skoniugowanego z toksoidem tężcowym,True,
VAC0346,PURIVAX,Inactivated polio (trivalent) vaccine,False,VAC0270
VAC0347,QUADRACEL,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False,VAC0551
VAC0348,QUADRACEL/HIBEST,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1115
VAC0349,QUADRIGEN,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and inactivated polio (trivalent) pediatric vaccine",False,VAC1151
VAC0350,QUATRO-VIRELON,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False,VAC0551
VAC0351,QUINTUPLE,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and hepatitis B (recombinant) pediatric vaccine",False,VAC1231
VAC0352,R-HB VACCINE,"Recombinant hepatitis B vaccine, adult dose",False,VAC0915
VAC0353,R-VAC,Live attenuated rubella vaccine,False,VAC0113
VAC0354,RA27/3,Live attenuated rubella vaccine,False,VAC0113
VAC0355,RABAVERT,"Whole virion inactivated rabies vaccine, Flury LEP strain, purified chick embryo cell vaccine (PCECV), inactivated with ß-propiolactone",False,VAC0942
VAC0356,RECOMBIVAX HB,Hepatitis B vaccine (Paediatric and adult dosage at 10 µg and dosage for dialysis patients at 40 µg),False,VAC1125
VAC0357,"RESPIGAM, RSV-IVIG",Immunoglobulin anti-RSV,False,VAC1223
VAC0358,"Rabies immunoglobulin human origin, unspecified","Immunoglobulina przeciwko wściekliźnie, pochodzenia ludzkiego",True,
VAC0359,RIMEVAX,Live attenuated measles vaccine,False,VAC0114
VAC0360,RIMPARIX,Live attenuated measles and mumps vaccine,False,VAC0623
VAC0361,RIT - LM-2,Live attenuated measles and mumps vaccine,False,VAC0623
VAC0362,RIT - LM-3,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0363,ROTASHIELD,Rotavirus vaccine (First),False,VAC0158
VAC0364,RUBEATEN BERNA PRODUCTS,Live attenuated rubella vaccine,False,VAC0113
VAC0365,RUBELLA VACCINE MICROGEN,Live attenuated rubella vaccine,False,VAC0113
VAC0366,RUBELLA-KOVAX,Live attenuated rubella vaccine,False,VAC0113
VAC0367,RUBELLOVAC,Live attenuated rubella vaccine,False,VAC0113
