SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-1399581007,#MISS,"Salmonella enterica subspecies enterica serovar Paratyphi A antigen-containing product",
SNOMED-CT-1399583005,#MISS,"Influenza virus and severe acute respiratory syndrome coronavirus 2 antigens only vaccine product",
SNOMED-CT-1401553000,#MISS,"Borrelia afzelii serotype 2 and Borrelia bavariensis serotype 4 and Borrelia burgdorferi serotype 1 and Borrelia garinii serotype 3, 5, and 6 outer surface protein A antigens only vaccine product",
SNOMED-CT-1401869004,#MISS,"Inactivated whole cell Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and Hepatitis B virus and inactivated whole Human poliovirus antigens only vaccine product",
SNOMED-CT-1401970004,#MISS,"Inactivated whole cell Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus antigens only vaccine product",
SNOMED-CT-1401972007,#MISS,"Inactivated whole cell Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Haemophilus influenzae type b and inactivated whole Human poliovirus antigens only vaccine product",
SNOMED-CT-1406759003,#MISS,"Influenza virus messenger ribonucleic acid and severe acute respiratory syndrome coronavirus 2 messenger ribonucleic acid only vaccine product",
SNOMED-CT-1801000221105,VAC0814,"Streptococcus pneumoniae capsular polysaccharide antigen conjugated only vaccine product","Pneumococcal conjugate vaccine, serotypes unspecified"
SNOMED-CT-1861000221106,VAC0134,"Bacillus Calmette-Guerin antigen only vaccine product","BCG vaccine, unspecified"
SNOMED-CT-1971000221105,VAC0643,"Neisseria meningitidis serogroup A, C, W, and Y capsular polysaccharide conjugated antigens only vaccine product","Meningococcal ACWY conjugate vaccine, unspecified"
SNOMED-CT-1981000221108,VAC0811,"Neisseria meningitidis serogroup B antigen only vaccine product","Meningococcal B vaccine, unspecified"
SNOMED-CT-1991000221106,VAC0858,"Human papillomavirus 16 and 18 antigens only vaccine product","HPV vaccine bivalent, unspecified"
SNOMED-CT-2001000221108,VAC0859,"Human papillomavirus 6, 11, 16 and 18 antigens only vaccine product","HPV vaccine quadrivalent, unspecified"
SNOMED-CT-2021000221101,VAC0132,"Clostridium tetani toxoid antigen only vaccine product","Tetanus vaccine, unspecified"
SNOMED-CT-2031000221103,VAC0920,"Clostridium tetani and Corynebacterium diphtheriae toxoids only adult vaccine product","Diphtheria-tetanus Td vaccine, unspecified"
SNOMED-CT-2041000221105,VAC0143,"Haemophilus influenzae type b capsular polysaccharide antigen conjugated only vaccine product","Haemophilus influenzae B (or Hib) vaccine, unspecified"
SNOMED-CT-2051000221107,VAC0610,"Adult acellular Bordetella pertussis and Clostridium tetani toxoid and Corynebacterium diphtheriae toxoid antigens only vaccine product","Tdap - Diphtheria-Tetanus-Pertussis vaccine, low dose, unspecified"
SNOMED-CT-2061000221109,VAC0136,"Whole cell Bordetella pertussis and Clostridium tetani toxoid and Corynebacterium diphtheriae toxoid only pediatric vaccine product","DTwP - Diphtheria-Tetanus-Pertussis, unspecified"
SNOMED-CT-2071000221100,VAC0775,"Whole cell Bordetella pertussis and Corynebacterium diphtheriae toxoid and Clostridium tetani toxoid and Haemophilus influenzae type b capsular polysaccharide conjugated antigens only pediatric vaccine","Diphtheria (standard dose), tetanus, pertussis (whole-cell inactivated) and Haemophilus influenzae type b (conjugated) vaccine (DTwPHib), pediatric"
