CTI-EXTEND,NUVA,CTI-EXTEND label, NUVA label
CTI-EXTEND-662870-01,VAC1259,"Comirnaty JN.1 10 µg/dose disp. inj. i.m. flac.","COMIRNATY JN.1 10 µg CHILDREN (5-11 YEARS)"
CTI-EXTEND-662871-01,VAC1259,"Comirnaty JN.1 10 µg/dose disp. inj. i.m. flac.","COMIRNATY JN.1 10 µg CHILDREN (5-11 YEARS)"
CTI-EXTEND-662872-01,VAC1259,"Comirnaty JN.1 10 µg/dose disp. inj. (à diluer) i.m. flac.","COMIRNATY JN.1 10 µg CHILDREN (5-11 YEARS)"
CTI-EXTEND-663259-01,VAC1270,"Spikevax JN.1 0.1 mg/ml disp. inj. i.m. flac.","SPIKEVAX JN.1 0,1 mg/mL dose 50 µg"
CTI-EXTEND-663260-01,VAC1270,"Spikevax JN.1 0.1 mg/ml disp. inj. i.m. flac.","SPIKEVAX JN.1 0,1 mg/mL dose 50 µg"
CTI-EXTEND-663261-01,VAC1268,"Spikevax JN.1 50 µg disp. inj. i.m. flac.","SPIKEVAX JN.1 50 µg"
CTI-EXTEND-663262-01,VAC1268,"Spikevax JN.1 50 µg disp. inj. i.m. flac.","SPIKEVAX JN.1 50 µg"
CTI-EXTEND-663263-01,VAC1268,"Spikevax JN.1 50 µg disp. inj. i.m. ser. préremplie","SPIKEVAX JN.1 50 µg"
CTI-EXTEND-663264-01,VAC1268,"Spikevax JN.1 50 µg disp. inj. i.m. ser. préremplie","SPIKEVAX JN.1 50 µg"
CTI-EXTEND-663265-01,VAC1268,"Spikevax JN.1 50 µg disp. inj. i.m. ser. préremplie","SPIKEVAX JN.1 50 µg"
CTI-EXTEND-663266-01,VAC1268,"Spikevax JN.1 50 µg disp. inj. i.m. ser. préremplie","SPIKEVAX JN.1 50 µg"
CTI-EXTEND-663371-01,VAC1334,"Comirnaty KP.2 30 µg/dose disp. inj. i.m. flac.","COMIRNATY KP.2 30 µg ADULT (+ 12 YEARS)"
CTI-EXTEND-663372-01,VAC1334,"Comirnaty KP.2 30 µg/dose disp. inj. i.m. flac.","COMIRNATY KP.2 30 µg ADULT (+ 12 YEARS)"
CTI-EXTEND-664551-01,#MISS,"Comirnaty KP.2 30 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-663373-01,VAC1334,"Comirnaty KP.2 30 µg/dose disp. inj. i.m. ser. préremplie","COMIRNATY KP.2 30 µg ADULT (+ 12 YEARS)"
CTI-EXTEND-663374-01,VAC1333,"Comirnaty KP.2 10 µg/dose disp. inj. i.m. flac.","COMIRNATY KP.2 10 µg CHILDREN (5-11 YEARS)"
CTI-EXTEND-663375-01,VAC1333,"Comirnaty KP.2 10 µg/dose disp. inj. i.m. flac.","COMIRNATY KP.2 10 µg CHILDREN (5-11 YEARS)"
CTI-EXTEND-663960-01,VAC1336,"Kostaive disp. inj. (pdr.) i.m. flac.","KOSTAIVE"
CTI-EXTEND-664819-01,VAC1466,"Comirnaty LP.8.1 30 µg/dose disp. inj. i.m. flac.","COMIRNATY LP.8.1 30 µg"
CTI-EXTEND-664820-01,#MISS,"Comirnaty LP.8.1 30 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-664821-01,#MISS,"Comirnaty LP.8.1 30 µg/dose disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665024-01,#MISS,"Comirnaty LP.8.1 30 µg/dose disp. inj. i.m. ser. préremplie",
CTI-EXTEND-664822-01,#MISS,"Comirnaty LP.8.1 10 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-664823-01,VAC1468,"Comirnaty LP.8.1 10 µg/dose disp. inj. i.m. flac.","COMIRNATY LP.8.1 10 µg"
CTI-EXTEND-664869-01,#MISS,"Spikevax LP.8.1 0.1 mg/ml disp. inj. i.m. flac.",
CTI-EXTEND-664870-01,#MISS,"Spikevax LP.8.1 0.1 mg/ml disp. inj. i.m. flac.",
CTI-EXTEND-664871-01,#MISS,"Spikevax LP.8.1 50 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-664872-01,#MISS,"Spikevax LP.8.1 50 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-664873-01,#MISS,"Spikevax LP.8.1 50 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-664874-01,#MISS,"Spikevax LP.8.1 50 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665112-01,#MISS,"Spikevax LP.8.1 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665113-01,#MISS,"Spikevax LP.8.1 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665114-01,#MISS,"Spikevax LP.8.1 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665115-01,#MISS,"Spikevax LP.8.1 25 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665775-01,#MISS,"mNexspike disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665776-01,#MISS,"mNexspike disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665777-01,#MISS,"mNexspike disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665778-01,#MISS,"mNexspike disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665779-01,#MISS,"mNexspike disp. inj. i.m. ser. préremplie",
CTI-EXTEND-665780-01,#MISS,"mNexspike disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666433-01,#MISS,"Comirnaty XFG 30 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-666434-01,#MISS,"Comirnaty XFG 30 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-666435-01,#MISS,"Comirnaty XFG 30 µg/dose disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666436-01,#MISS,"Comirnaty XFG 30 µg/dose disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666437-01,#MISS,"Comirnaty XFG 10 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-666438-01,#MISS,"Comirnaty XFG 10 µg/dose disp. inj. i.m. flac.",
CTI-EXTEND-666439-01,#MISS,"Spikevax XFG 0.1 mg/ml disp. inj. i.m. flac.",
CTI-EXTEND-666440-01,#MISS,"Spikevax XFG 0.1 mg/ml disp. inj. i.m. flac.",
CTI-EXTEND-666441-01,#MISS,"Spikevax XFG 50 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666442-01,#MISS,"Spikevax XFG 50 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666443-01,#MISS,"Spikevax XFG 50 µg disp. inj. i.m. ser. préremplie",
CTI-EXTEND-666444-01,#MISS,"Spikevax XFG 50 µg disp. inj. i.m. ser. préremplie",
